"Kildee, Dale E. [Rep.-D-MI-5]",9
"Butterfield, G. K. [Rep.-D-NC-1]",9
"Menendez, Robert [Sen.-D-NJ]",9
"McCarthy, Kevin [Rep.-R-CA-23]",9
"Kerry, John F. [Sen.-D-MA]",9
"Thompson, Mike [Rep.-D-CA-1]",9
"Allard, Wayne [Sen.-R-CO]",9
"Lieberman, Joseph I. [Sen.-ID-CT]",9
"Graves, Sam [Rep.-R-MO-6]",8
"Thompson, Bennie G. [Rep.-D-MS-2]",8
"Hunter, Duncan [Rep.-R-CA-52]",8
"Sensenbrenner, F. James, Jr. [Rep.-R-WI-9]",8
"Snowe, Olympia J. [Sen.-R-ME]",8
"Foxx, Virginia [Rep.-R-NC-5]",8
"\"McKeon, Howard P. \"\"Buck\"\" [Rep.-R-CA-25]\"",8
"Dingell, John D. [Rep.-D-MI-15]",8
"Pombo, Richard W. [Rep.-R-CA-11]",8
"Hobson, David L. [Rep.-R-OH-7]",8
"Murkowski, Frank H. [Sen.-R-AK]",8
"Harper, Gregg [Rep.-R-MS-3]",8
"Crowley, Joseph [Rep.-D-NY-7]",8
"Frank, Barney [Rep.-D-MA-4]",8
"Coble, Howard [Rep.-R-NC-6]",8
"Bachus, Spencer [Rep.-R-AL-6]",8
"Hyde, Henry J. [Rep.-R-IL-6]",8
"Brown-Waite, Ginny [Rep.-R-FL-5]",8
"Maloney, Carolyn B. [Rep.-D-NY-14]",8
"Udall, Tom [Rep.-D-NM-3]",8
"McConnell, Mitch [Sen.-R-KY]",8
"Levin, Sander M. [Rep.-D-MI-12]",8
"Skelton, Ike [Rep.-D-MO-4]",8
"Specter, Arlen [Sen.-R-PA]",8
"Regula, Ralph [Rep.-R-OH-16]",8
"Bond, Christopher S. [Sen.-R-MO]",8
"DeLay, Tom [Rep.-R-TX-22]",8
"Cohen, Steve [Rep.-D-TN-9]",8
"Isakson, Johnny [Sen.-R-GA]",8
"Nelson, Bill [Sen.-D-FL]",8
"Kennedy, John [Sen.-R-LA]",8
"Hurd, Will [Rep.-R-TX-23]",7
"Stabenow, Debbie [Sen.-D-MI]",7
"Gordon, Bart [Rep.-D-TN-6]",7
"Hirono, Mazie K. [Sen.-D-HI]",7
"Chaffetz, Jason [Rep.-R-UT-3]",7
"Stevens, Ted [Sen.-R-AK]",7
"Katko, John [Rep.-R-NY-24]",7
"Cubin, Barbara [Rep.-R-WY-At Large]",7
"Fossella, Vito [Rep.-R-NY-13]",7
"Roe, David P. [Rep.-R-TN-1]",7
"Upton, Fred [Rep.-R-MI-6]",7
"Johnson, Tim [Sen.-D-SD]",7
"Engel, Eliot L. [Rep.-D-NY-17]",7
"Renzi, Rick [Rep.-R-AZ-1]",7
